section,key,subkey,value
app_stats,genie,new,0
app_stats,genie,changed,0
app_stats,genie,removed,0
app_stats,genie,processed_items,0
app_stats,uc_object,new,355
app_stats,uc_object,changed,0
app_stats,uc_object,removed,0
app_stats,uc_object,processed_items,1
app_stats,dbschema,new,0
app_stats,dbschema,changed,0
app_stats,dbschema,removed,0
app_stats,dbschema,processed_items,0
app_stats,confluence,new,3
app_stats,confluence,changed,0
app_stats,confluence,removed,0
app_stats,confluence,processed_items,1
implication_counts,BLOCKER,,1
implication_counts,NO_CHANGE_SKIPPED,,3
recent_blockers,uc_object,uc_object:uc_new_object:main.bi_output.australia_tag_ob_june26,exception: cursor_sdk Agent.prompt timed out after 60s
overall,overall_health,,blocked
