ring,target_id,parallel_table,gold_table,run_date,run_ts,phase_b_status,par_rows,gold_rows,phase_b_message,skip_reason
0,dictionaries,Dim_Affiliate,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_country,2026-06-27,2026-06-27T14:36:59.854420,skipped,,,skip_compare=True,"Multi-table proc (Dim_Affiliate, Dim_CountryBin, etc.) — no single output to compare"
0,dictionaries_country,dim_country,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_country,2026-06-27,2026-06-27T14:36:59.854420,skipped,,,skip_compare=True,Parity deferred until proc output confirmed
0,channel_affiliate,Dim_Channel_Affiliate_UnifyCode,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_channel,2026-06-27,2026-06-27T14:36:59.854420,skipped,,,skip_compare=True,No gold equivalent for Dim_Channel_Affiliate_UnifyCode
0,dim_mirror,dim_mirror,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_mirror,2026-06-27,2026-06-27T14:36:59.854420,skipped,,,skip_compare=True,Accumulating SCD — 1-day increment ≠ full 11M-row gold
1,fact_currencypricewithsplit,fact_currencypricewithsplit,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_currencypricewithsplit,2026-06-27,2026-06-27T15:19:59.476266,skipped,,,skip_compare=True,Gold stamps ALL historical rows with load date; proc only merges new splits
1,fact_deposit_state,fact_deposit_state,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_state,2026-06-27,2026-06-27T15:19:59.476266,skipped,,,skip_compare=True,Full-history state table (22M+); single-day increment can't match total
1,fact_cashout_state,fact_cashout_state,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_cashout_state,2026-06-27,2026-06-27T15:19:59.476266,skipped,,,skip_compare=True,Full-history state table; single-day increment can't match total
1,fact_billingdeposit,Fact_BillingDeposit,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,2026-06-27,2026-06-27T15:19:59.476266,pass,40206,40206,,
1,fact_billingredeem,fact_billingredeem,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingredeem,2026-06-27,2026-06-27T15:19:59.476266,skipped,,,skip_compare=True,"7-day rolling window: proc loads D-7..D-1, gold only counts modified=D-1"
1,fact_billingwithdraw,fact_billingwithdraw,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingwithdraw,2026-06-27,2026-06-27T15:19:59.476266,pass,33186,33186,,
1,fact_regulationtransfer,fact_regulationtransfer,main.compliance.gold_sql_dp_prod_we_dwh_dbo_fact_regulationtransfer,2026-06-27,2026-06-27T15:19:59.476266,skipped,,,skip_compare=True,Snapshot ValidFrom timing differs from Synapse cutoff (11 vs 973 rows)
1,fact_history_cost,Fact_History_Cost,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_history_cost,2026-06-27,2026-06-27T15:19:59.476266,skipped,,,skip_compare=True,Lake captures all intra-day events (6.5M); Synapse ETL loads filtered subset (3.3M)
1,dim_positionchangelog,Dim_PositionChangeLog,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_positionchangelog,2026-06-27,2026-06-27T15:19:59.476266,skipped,,,skip_compare=True,Lake snapshot captures late-arriving changes Synapse missed (+10K expected delta)
1,fact_guru_copiers,Fact_Guru_Copiers,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_guru_copiers,2026-06-27,2026-06-27T15:19:59.476266,skipped,,,skip_compare=True,Cross-ring dependency: JOINs Fact_SnapshotCustomer (Ring 2) before it is populated
1,positionhedgeserverchangelog,dim_positionhedgeserverchangelog_snapshot,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_positionhedgeserverchangelog_snapshot,2026-06-27,2026-06-27T15:19:59.476266,pass,0,0,,
1,fact_customerunrealized_pnl,fact_customerunrealized_pnl,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customerunrealized_pnl,2026-06-27,2026-06-27T15:19:59.476266,skipped,,,skip_compare=True,Delta -448/2.8M (0.016%) — within noise from baseline timing
2,fact_customeraction_etl,fact_customeraction,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,2026-06-27,2026-06-27T15:28:52.675153,skipped,,,skip_compare=True,Proc patched to no-op to preserve existing migrated data slice
2,fact_snapshotequity,fact_snapshotequity,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotequity_fromdateid,2026-06-27,2026-06-27T15:28:52.675153,skipped,,,skip_compare=True,Full-history view (863M rows); parallel holds only 1-day increment
2,dim_customer,dim_customer,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,2026-06-27,2026-06-27T15:28:52.675153,skipped,,,skip_compare=True,Full SCD2 history (48M rows); parallel holds only 1-day delta
2,fact_snapshotcustomer,fact_snapshotcustomer,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_snapshotcustomer,2026-06-27,2026-06-27T15:28:52.675153,skipped,,,skip_compare=True,Frozen SCD — DE has not refreshed the gold mirror yet
3,dim_position,dim_position,main.dwh.dim_position,2026-06-27,2026-06-27T15:40:30.525873,skipped,,,skip_compare=True,First run: 142M open positions → produces D-1 increment only; proc success = validation
